"PCT","total","FRISKED","OTHRWEAP","FREQ","PERCENTAGE","normalisedFreq"
"248","79  ",15179,"N","Y",3,0.000565300711713596,0.000197641478358258
"249","79  ",15179,"Y","N",8298,1.56362176859981,0.546676329138942
"250","79  ",15179,"Y","Y",35,0.00659517496999195,0.00230581724751301
"251","81  ",9635,"N","N",3641,0.686086630449734,0.377893098079917
"252","81  ",9635,"N","Y",2,0.000376867141142397,0.000207576543850545
"253","81  ",9635,"Y","N",5978,1.12645588487463,0.620446289569279
"254","81  ",9635,"Y","Y",14,0.00263806998799678,0.00145303580695381
"255","83  ",11795,"N","N",4435,0.835702885483266,0.376006782534972
"256","83  ",11795,"Y","N",7341,1.38329084156317,0.622382365409072
"257","83  ",11795,"Y","Y",19,0.00358023784085278,0.00161085205595591
"258","84  ",3807,"N","N",2266,0.426990470914336,0.595219332807985
"259","84  ",3807,"N","Y",2,0.000376867141142397,0.00052534804307854
"260","84  ",3807,"Y","N",1528,0.287926495832792,0.401365904912004
"261","84  ",3807,"Y","Y",11,0.00207276927628319,0.00288941423693197
"262","88  ",5921,"N","N",2909,0.548153256791617,0.491302144907955
"263","88  ",5921,"N","Y",1,0.000188433570571199,0.000168890390136801
"264","88  ",5921,"Y","N",2996,0.564546977431311,0.505995608849856
"265","88  ",5921,"Y","Y",15,0.00282650355856798,0.00253335585205202
"266","9   ",5221,"N","N",2594,0.488796682061689,0.49683968588393
"267","9   ",5221,"N","Y",3,0.000565300711713596,0.000574602566558131
"268","9   ",5221,"Y","N",2601,0.490115717055688,0.498180425205899
"269","9   ",5221,"Y","Y",23,0.00433397212313757,0.00440528634361234
"270","90  ",9831,"N","N",5289,0.99662515475107,0.537992065913946
"271","90  ",9831,"Y","N",4530,0.85360407468753,0.460787305462313
"272","90  ",9831,"Y","Y",12,0.00226120284685438,0.00122062862374123
"273","94  ",2089,"N","N",1137,0.214248969739453,0.544279559597894
"274","94  ",2089,"N","Y",1,0.000188433570571199,0.000478697941598851
"275","94  ",2089,"Y","N",942,0.177504423478069,0.450933460986118
"276","94  ",2089,"Y","Y",9,0.00169590213514079,0.00430828147438966
