"fs[, 1]","V1"
"14000US36061008700",1
"14000US36061008800",1
"14000US36061008900",1
"14000US36061009000",1
"14000US36061009100",1
"14000US36061009200",1
"14000US36061009300",2
"14000US36061009500",1
"14000US36061009600",1
"14000US36061009700",2
"14000US36061009800",1
"14000US36061009900",1
"14000US36061010000",1
"14000US36061010100",3
"14000US36061010200",1
"14000US36061010300",1
"14000US36061010400",1
"14000US36061010601",1
"14000US36061010602",1
"14000US36061010800",1
"14000US36061010900",2
"14000US36061011000",1
"14000US36061011100",1
"14000US36061011201",1
"14000US36061011202",1
"14000US36061011203",1
"14000US36061011300",3
"14000US36061011401",1
"14000US36061011402",1
"14000US36061011500",3
"14000US36061011600",1
"14000US36061011700",1
"14000US36061011800",1
"14000US36061011900",2
"14000US36061012000",1
"14000US36061012100",2
"14000US36061012200",1
"14000US36061012400",1
"14000US36061012500",1
"14000US36061012600",1
"14000US36061012700",1
"14000US36061012800",1
"14000US36061012900",1
"14000US36061013000",1
"14000US36061013100",1
"14000US36061013200",1
"14000US36061013300",1
"14000US36061013400",1
"14000US36061013500",2
"14000US36061013600",1
"14000US36061013700",1
"14000US36061013800",1
"14000US36061013900",1
"14000US36061014000",1
"14000US36061014200",1
"14000US36061014401",1
"14000US36061014402",1
"14000US36061014500",1
"14000US36061014601",1
"14000US36061014602",1
"14000US36061014700",1
"14000US36061014801",1
"14000US36061014802",1
"14000US36061014900",1
"14000US36061015001",1
"14000US36061015002",1
"14000US36061015100",2
"14000US36061015200",2
"14000US36061015300",1
"14000US36061015400",2
"14000US36061015500",1
"14000US36061015601",1
"14000US36061015602",1
"14000US36061015700",1
"14000US36061015801",1
"14000US36061015802",1
"14000US36061015900",1
"14000US36061016001",1
"14000US36061016002",1
"14000US36061016100",1
"14000US36061016200",2
"14000US36061016300",1
"14000US36061016400",2
"14000US36061016500",1
"14000US36061016600",2
"14000US36061016700",1
"14000US36061016800",2
"14000US36061016900",1
"14000US36061017000",2
"14000US36061017100",1
